# C1_Time_[h],C1_mass_A_[g],C1_mass_B_[g],C2_Time_[h],C2_mass_A_[g],C2_mass_B_[g],C3_Time_[h],C3_mass_A_[g],C3_mass_B_[g],C4_Time_[h],C4_mass_A_[g],C4_mass_B_[g],C5_Time_[h],C5_mass_A_[g],C5_mass_B_[g]
2.41666666666667,0.646330837359285,0,2.41666666666667,0.530181264926775,0,2.41666666666667,0.550373713750855,0,2.41666666666667,0.590317507941506,0,2.41666666666667,0.528940805849998,0
2.5,0.637370350049148,0,2.5,0.547878364628799,0,2.5,0.558183691791032,0,2.5,0.60302144231471,0,2.5,0.54597694738891,0
2.58333333333333,0.651769330540993,0,2.58333333333333,0.55478489325267,0,2.58333333333333,0.572784712106816,0,2.58333333333333,0.621589076074698,0,2.58333333333333,0.564673402509495,0
2.66666666666667,0.677737141593693,0,2.66666666666667,0.568232734937497,0,2.66666666666667,0.590726128966959,0,2.66666666666667,0.635899865087452,0,2.66666666666667,0.574028640617367,0
2.75,0.694873488875089,0,2.75,0.586077295891123,0,2.75,0.608589494388372,0,2.75,0.654628763470103,0,2.75,0.59776419908762,0
2.83333333333333,0.721799678306012,0,2.83333333333333,0.608380592882162,0,2.83333333333333,0.627718248434243,0,2.83333333333333,0.677494775809315,0,2.83333333333333,0.608116906481721,0
2.91666666666667,0.739867242034596,0,2.91666666666667,0.630459857333173,0,2.91666666666667,0.651418138117576,0,2.91666666666667,0.696954886890809,0,2.91666666666667,0.622366159851147,0
3,0.765183374419668,0,3,0.628911513118069,0,3,0.656124437372196,0,3,0.69959905348364,0,3,0.636674487163627,0
3.08333333333333,0.778998102180697,0,3.08333333333333,0.653582400317817,0,3.08333333333333,0.672495558219392,0,3.08333333333333,0.733055508470549,0,3.08333333333333,0.662581190004694,0
3.16666666666667,0.79717994236394,0,3.16666666666667,0.671139556286653,0,3.16666666666667,0.694476874051469,0,3.16666666666667,0.741264708302893,0,3.16666666666667,0.684194569894989,0
3.25,0.83607086020231,0,3.25,0.691776311911386,0,3.25,0.718570014999128,0,3.25,0.765131043465454,0,3.25,0.705727661156095,0
3.33333333333333,0.852189342127011,0,3.33333333333333,0.715899475006427,0,3.33333333333333,0.734415962693433,0,3.33333333333333,0.788048408853635,0,3.33333333333333,0.71131252341658,0
3.41666666666667,0.869680292046341,0,3.41666666666667,0.735694027305935,0,3.41666666666667,0.750224365245682,0,3.41666666666667,0.807815006581946,0,3.41666666666667,0.730512771320186,0
3.5,0.903261958179012,0,3.5,0.747469130748619,0,3.5,0.765302718750099,0,3.5,0.820529064064531,0,3.5,0.726601423947756,0
3.58333333333333,0.920888201088819,0,3.58333333333333,0.75855999208202,0,3.58333333333333,0.776631361002171,0,3.58333333333333,0.840379482784929,0,3.58333333333333,0.738550639232226,0
3.66666666666667,0.931685738302555,0,3.66666666666667,0.771461639741772,0,3.66666666666667,0.787011048253314,0,3.66666666666667,0.839777066453389,0,3.66666666666667,0.764831391395061,0
3.75,0.935784154773032,0,3.75,0.773679352296418,0,3.75,0.793731547093226,0,3.75,0.851956810469573,0,3.75,0.778121148938773,0
3.83333333333333,0.955507120200538,0,3.83333333333333,0.789736954296004,0,3.83333333333333,0.809005477158488,0,3.83333333333333,0.872827962626556,0,3.83333333333333,0.788447693508865,0
3.91666666666667,0.962052001871361,0,3.91666666666667,0.805537830188043,0,3.91666666666667,0.829934694063217,0,3.91666666666667,0.884664369343576,0,3.91666666666667,0.778559558892441,0.063000851423657
4,0.98576134372715,0,4,0.81898748352467,0,4,0.841407717556803,0,4,0.899469076991935,0,4,0.761781162625124,0.17353919292582
4.08333333333333,0.997469982135486,0,4.08333333333333,0.838687170431657,0,4.08333333333333,0.8558167306323,0,4.08333333333333,0.91809083747876,0,4.08333333333333,0.782017314048729,0.197394572090038
4.16666666666667,1.01526255138476,0,4.16666666666667,0.769583859097934,0.127646433649305,4.16666666666667,0.848645441570516,0.0268354071300269,4.16666666666667,0.926183742898241,0,4.16666666666667,0.805361306716649,0.224775337150801
4.25,1.03533135189028,0,4.25,0.775894764433665,0.234918188690824,4.25,0.804677221543986,0.18452518027847,4.25,0.873059842036117,0.107282088087694,4.25,0.818430471044115,0.293224174005762
4.33333333333333,0.995133513813665,0.133465172729509,4.33333333333333,0.79161093834024,0.256000211115907,4.33333333333333,0.821075200816987,0.248657704663359,4.33333333333333,0.883108504173816,0.224439935532141,4.33333333333333,0.818266086461493,0.383168754284508
4.41666666666667,1.00507321630444,0.205134318793626,4.41666666666667,0.802372895506182,0.274571766276164,4.41666666666667,0.844187460718747,0.279218070526424,4.41666666666667,0.922022337802803,0.26278019111178,4.41666666666667,0.877939925108053,0.454797190699541
4.5,1.01791973948475,0.217922720672316,4.5,0.81291890398011,0.296230071301897,4.5,0.86458986010381,0.319675561085815,4.5,0.945109088721467,0.296909406369299,4.5,0.888534337092552,0.515767467342779
4.58333333333333,1.04157920669833,0.26563764534861,4.58333333333333,0.836159907304863,0.37791843974302,4.58333333333333,0.890683023097227,0.330191086583469,4.58333333333333,0.953379862335339,0.308929628802352,4.58333333333333,0.913130425026126,0.552153953997335
4.66666666666667,1.07818473018493,0.354342338573082,4.66666666666667,0.849819411298783,0.460047647679191,4.66666666666667,0.899963539138309,0.33931578312433,4.66666666666667,0.977189700679872,0.334776936091622,4.66666666666667,0.926364645657127,0.648118492021421
4.75,1.12307623525366,0.411816274989375,4.75,0.869479068689818,0.505010192621595,4.75,0.96384144033849,0.389854752551087,4.75,0.992770147946353,0.357320975583161,4.75,0.949436045858016,0.708605727323609
4.83333333333333,1.14019913037027,0.420572484461955,4.83333333333333,0.891197269255556,0.54932260738523,4.83333333333333,0.970842222118478,0.437234683060683,4.83333333333333,1.00739103132936,0.460888189124813,4.83333333333333,0.975581243856281,0.771911575859422
4.91666666666667,1.14977246884303,0.432961852150266,4.91666666666667,0.911295577869176,0.616780372224811,4.91666666666667,0.985270444584194,0.534407776805872,4.91666666666667,1.02487711146851,0.534792544725067,4.91666666666667,0.998752587119468,0.823647098575102
5,1.18109152054951,0.51583261890108,5,0.940276910779705,0.638948984914669,5,0.998446413701924,0.600407484178336,5,1.05574376584956,0.599106118544788,5,1.02283847662311,0.832023959973474
5.08333333333333,1.219913923141,0.576242415897533,5.08333333333333,0.95079527714408,0.681136031624847,5.08333333333333,1.00764089509637,0.640517583233876,5.08333333333333,1.07308244698746,0.635782881949659,5.08333333333333,1.03737175937496,0.833877374714712
5.16666666666667,1.23847095474608,0.579264164198149,5.16666666666667,0.956592038447051,0.70510405662967,5.16666666666667,1.01847744767029,0.660744616933324,5.16666666666667,1.08507789018727,0.635336433038247,5.16666666666667,1.04353498315665,0.829100380309809
5.25,1.25391813796857,0.583523288607406,5.25,0.968336037647398,0.705458479369601,5.25,1.02468647648937,0.660040829284621,5.25,1.10002083510757,0.639240934701696,5.25,1.0487272642854,0.82832600983634
5.33333333333333,1.27017339266195,0.586685499285597,5.33333333333333,0.977603711262588,0.707984463836137,5.33333333333333,1.0384048455272,0.666801320688143,5.33333333333333,1.10933220012288,0.640183252840457,5.33333333333333,1.06003877680281,0.830998604876047
5.41666666666667,1.27628451483826,0.587715174069249,5.41666666666667,0.987013061182308,0.709894208012016,5.41666666666667,1.04349001039218,0.667135422496817,5.41666666666667,1.11492995545819,0.640643527115003,5.41666666666667,1.06607176807524,0.830348192217979
5.5,1.29185159945653,0.590296315660078,5.5,1.00168293412229,0.71211935279808,5.5,1.05353904971648,0.670932668355889,5.5,1.139000380741,0.646873361685057,5.5,1.07137874694107,0.830092426032818
5.58333333333333,1.31042943349328,0.593197275896352,5.58333333333333,1.01369753674427,0.712998237321777,5.58333333333333,1.06424379505762,0.674780375191778,5.58333333333333,1.1986453249343,0.65947141603594,5.58333333333333,1.08122450385147,0.829825577870428
5.66666666666667,1.32720840690599,0.595724414421442,5.66666666666667,1.02437890332001,0.713662092492357,5.66666666666667,1.07669709119972,0.681451895036735,5.66666666666667,1.21572537546884,0.664204336709116,6.03333333333333,1.12847889820499,0.829982666761317
5.75,1.34211920042909,0.597203249148118,5.75,1.03483083050744,0.714405939526382,5.75,1.07960159458408,0.68043379140591,5.75,1.22853627233165,0.666349931708953,7,1.21382525731079,0.821038195393076
5.83333333333333,1.34680514783261,0.596922841524043,5.83333333333333,1.04671261204563,0.71466511822158,5.83333333333333,1.09827309082905,0.685477962361742,5.83333333333333,1.24115897092525,0.668222099695793,8,1.28944120449438,0.813616986350518
5.91666666666667,1.35795834340775,0.598583349886776,5.91666666666667,1.05927951087616,0.710544070160084,5.91666666666667,1.10392808640749,0.687723902898779,5.91666666666667,1.23896703522297,0.665918435054409,9,1.35844431360983,0.812254933385606
6,1.37998120605609,0.60123035004752,6,1.06904465249281,0.711962924153907,6,1.10887026017326,0.686253496643032,6,1.26019331753934,0.670564675226093,10,1.41954512588056,0.804412671690535
7,1.49928558435184,0.609133426727987,7,1.19724982933715,0.71366010565627,7,1.21295974777645,0.689237508558842,7,1.34570849427309,0.67331515931726,11,1.47821669944839,0.803027136753497
8,1.59633932508082,0.607728572363068,8,1.30205915275584,0.698318623187056,8,1.30411971977001,0.678984536460828,8,1.43739655775882,0.663863567933935,12,1.53092889843909,0.806614295064319
9,1.68042818078564,0.60552032742441,9,1.38512688462124,0.688692712092578,9,1.38044480459755,0.66681298229174,9,1.50903504435048,0.65486195516649,13,1.5788050907508,0.807815005390996
10,1.77275676046371,0.608656547858993,10,1.4472654076858,0.676108618665359,10,1.44528522101721,0.655843403266363,10,1.57820486397688,0.648554143908174,14,1.64385676881899,0.820145532220159
11,1.85155740815763,0.619021919278035,11,1.50557311374257,0.670655359069673,11,1.50188774588695,0.644207920151328,11,1.63320493503875,0.648235126566969,15,1.69958111901338,0.827825904713599
12,1.90372552814446,0.619637500539238,12,1.57209954618009,0.666483698821914,12,1.55862183222528,0.639536658464563,12,1.6911708817104,0.64967254673843,16,1.76513917563437,0.83701777329386
13,1.96267985032082,0.623841441058115,13,1.63437504580099,0.66596303238572,13,1.62327854397807,0.640692401778414,13,1.75304231804288,0.655668988321477,17,1.82510193516114,0.847687903947159
14,2.03231282499596,0.630277053951898,14,1.69971564143044,0.671908623507477,14,1.68493957230705,0.642657801690225,14,1.81846855290006,0.663262154966437,18,1.89345875562531,0.859900047192512
15,2.08926996332044,0.635857920473767,15,1.75493100132397,0.673266391232538,15,1.74471486138889,0.644651232167385,15,1.88267678533103,0.668005677090348,19,1.94615236989973,0.867882698219642
16,2.12805631620179,0.637015864428092,16,1.81746215224728,0.675862507274497,16,1.81554199592249,0.652741912406105,16,1.95091132268299,0.67679283393683,20,1.99913982016081,0.871547334344351
17,2.17861688024541,0.642202182806376,17,1.88266178423195,0.681202107160199,17,1.87591993148065,0.65974208634107,17,2.00433309558701,0.685360600244408,21,2.05428252234768,0.878379082791547
18,2.22559761458987,0.646770603409471,18,1.94728636391708,0.691773427769228,18,1.93833081867306,0.667102740281876,18,2.05570582372245,0.69285586863392,22,2.10575058825168,0.884883787361396
19,2.27543625180789,0.652099921661809,19,2.00073214553144,0.69762324372779,19,1.98516540725801,0.669509511197959,19,2.11264119370516,0.699370695653742,23,2.15302118104616,0.885358709311388
20,2.32514326064808,0.657374658891782,20,2.04087838817361,0.698721748849468,20,2.03470670436346,0.671796830349311,20,2.16549572324473,0.705578161130125,24,2.20148095622858,0.890963859344495
21,2.36937245707117,0.662122101404992,21,2.08713782836818,0.702163213640375,21,2.08241407361012,0.672529325866914,21,2.2192067587046,0.708123238863099,25,2.25393177958415,0.894756119085726
